Production_Date,Produced_Qty,Good_Qty,Rejected_Qty
2021-01,1344050,1281900,62150
2021-02,1204921,1149670,55251
2021-03,1339708,1278445,61263
2021-04,1328496,1267417,61079
2021-05,1427849,1362150,65699
2021-06,1345426,1283165,62261
2021-07,1357252,1296617,60635
2021-08,1363338,1299540,63798
2021-09,1276386,1218201,58185
2021-10,1357191,1295009,62182
2021-11,1277568,1219683,57885
2021-12,1468733,1401243,67490
2022-01,1344351,1282045,62306
2022-02,1228569,1170827,57742
2022-03,1356861,1293529,63332
2022-04,1319077,1257613,61464
2022-05,1288558,1230665,57893
2022-06,1257982,1200950,57032
2022-07,1390161,1326087,64074
2022-08,1363055,1302101,60954
2022-09,1345027,1282008,63019
2022-10,1396908,1332258,64650
2022-11,1319258,1258635,60623
2022-12,1308776,1247844,60932
2023-01,1381371,1318270,63101
2023-02,1273206,1214529,58677
2023-03,1326292,1266329,59963
2023-04,1313396,1252739,60657
2023-05,1383168,1322004,61164
2023-06,1334071,1273643,60428
2023-07,1352376,1290924,61452
2023-08,1419720,1353672,66048
2023-09,1351550,1289361,62189
2023-10,1374793,1309153,65640
2023-11,1374141,1313020,61121
2023-12,1292777,1231155,61622
2024-01,1408654,1343736,64918
2024-02,1240149,1181576,58573
2024-03,1373603,1310932,62671
2024-04,1349045,1286892,62153
2024-05,1427856,1363012,64844
2024-06,1383690,1320625,63065
2024-07,1351113,1288877,62236
2024-08,1367190,1304289,62901
2024-09,1311300,1249418,61882
2024-10,1437579,1373598,63981
2024-11,1299586,1239412,60174
2024-12,1369453,1305551,63902
2025-01,1389136,1325002,64134
2025-02,1277168,1219012,58156
2025-03,1416237,1351450,64787
2025-04,1379441,1317761,61680
2025-05,1301275,1241456,59819
2025-06,1286802,1227775,59027
2025-07,1317698,1255936,61762
2025-08,1306096,1246041,60055
2025-09,1298047,1238588,59459
2025-10,1346723,1284619,62104
2025-11,1318303,1258108,60195
2025-12,1428627,1363941,64686
2026-01,1366765,1305766,60999
2026-02,1255079,1196788,58291
2026-03,1344089,1282190,61899
2026-04,1383819,1321197,62622
2026-05,1410995,1346128,64867
2026-06,1294743,1235069,59674
2026-07,1361297,1298141,63156
2026-08,1399592,1333465,66127
