Production_ID,Production_Date,Shift,Product_ID,Product_Name,Product_Category,Machine_ID,Operator_ID,Planned_Qty,Produced_Qty,Good_Qty,Rejected_Qty,Production_Hours,Downtime_Hours,Raw_Material_Used_Kg,Wastage_Kg,Defect_Type,Production_Efficiency_%,Defect_Rate_%,Production_Status,Batch_Quality,Product_Quality_Level,Product_Quality_Score,Year,Month,Month_Name,Month_Year
P000001,2024-10-27,Evening,NP005,Plastic Dustbin,Household Utility,M005,E004,1072,1104,975,129,6.32,1.01,2123.37,17.0,None,102.99,11.68,Review,Low,Low,33.044,2024,10,October,2024-10
P000002,2023-07-12,Evening,NP005,Plastic Dustbin,Household Utility,M001,E022,1400,1329,1280,49,6.63,0.87,2703.24,34.21,Colour Defect,94.93,3.69,Completed,Medium,Low,33.044,2023,7,July,2023-07
P000003,2021-09-14,Morning,NP003,Plastic Chair,Furniture,M003,E009,1416,1287,1255,32,6.27,0.95,3536.11,37.47,Dimensional Defect,90.89,2.49,Completed,Medium,Medium,46.592,2021,9,September,2021-09
P000004,2026-06-04,Morning,NP006,Kitchen Container,Kitchen Product,M004,E004,1258,1283,1260,23,5.52,0.13,704.01,16.6,Dimensional Defect,101.99,1.79,Completed,High,High,96.056,2026,6,June,2026-06
P000005,2026-01-02,Morning,NP004,Storage Box,Storage,M002,E017,1198,1101,1074,27,6.67,1.38,1689.37,23.79,Shape Defect,91.9,2.45,Completed,Medium,Low,22.264,2026,1,January,2026-01
P000006,2022-05-26,Morning,NP004,Storage Box,Storage,M003,E028,171,173,169,4,6.15,0.38,265.32,4.29,Colour Defect,101.17,2.31,Completed,High,Low,22.264,2022,5,May,2022-05
P000007,2025-12-15,Evening,NP004,Storage Box,Storage,M005,E015,460,445,428,17,6.18,0.68,731.47,3.81,None,96.74,3.82,Completed,Medium,Low,22.264,2025,12,December,2025-12
P000008,2023-09-25,Evening,NP002,Plastic Mug,Household Utility,M003,E001,1460,1346,1224,122,6.82,0.02,312.17,14.98,Shape Defect,92.19,9.06,Review,Low,Medium,47.322,2023,9,September,2023-09
P000009,2023-05-14,Evening,NP004,Storage Box,Storage,M002,E002,1092,1032,986,46,7.95,0.9,1609.23,23.79,Shape Defect,94.51,4.46,Completed,Medium,Low,22.264,2023,5,May,2023-05
P000010,2021-09-11,Night,NP004,Storage Box,Storage,M005,E028,1538,1527,1455,72,6.77,0.05,2430.26,23.35,Surface Defect,99.28,4.72,Completed,Medium,Low,22.264,2021,9,September,2021-09
P000011,2021-02-11,Evening,NP004,Storage Box,Storage,M006,E017,1628,1364,1239,125,7.94,1.11,2344.55,19.32,Dimensional Defect,83.78,9.16,Review,Low,Low,22.264,2021,2,February,2021-02
P000012,2023-10-17,Evening,NP001,Plastic Bucket,Household Utility,M003,E012,1577,1339,1263,76,7.14,0.74,1580.58,14.86,Deformed Product,84.91,5.68,Completed,Low,High,52.232,2023,10,October,2023-10
P000013,2023-03-02,Night,NP002,Plastic Mug,Household Utility,M002,E006,810,696,676,20,5.94,1.25,172.91,30.73,Crack,85.93,2.87,Completed,Low,Medium,47.322,2023,3,March,2023-03
P000014,2024-11-08,Night,NP002,Plastic Mug,Household Utility,M005,E019,1727,1616,1476,140,7.36,1.56,418.14,3.43,Shape Defect,93.57,8.66,Review,Low,Medium,47.322,2024,11,November,2024-11
P000015,2022-10-06,Morning,NP005,Plastic Dustbin,Household Utility,M004,E010,964,942,934,8,7.04,0.61,1865.27,9.81,Deformed Product,97.72,0.85,Completed,High,Low,33.044,2022,10,October,2022-10
P000016,2024-03-12,Morning,NP003,Plastic Chair,Furniture,M001,E010,1060,959,936,23,7.59,0.74,2597.31,39.17,Shape Defect,90.47,2.4,Completed,Medium,Medium,46.592,2024,3,March,2024-03
P000017,2025-03-13,Evening,NP001,Plastic Bucket,Household Utility,M004,E024,871,853,777,76,5.51,0.01,954.74,7.82,Shape Defect,97.93,8.91,Review,Low,High,52.232,2025,3,March,2025-03
P000018,2025-12-23,Morning,NP002,Plastic Mug,Household Utility,M001,E013,1170,1165,1123,42,6.58,0.76,275.11,19.31,Colour Defect,99.57,3.61,Completed,Medium,Medium,47.322,2025,12,December,2025-12
P000019,2021-11-28,Evening,NP006,Kitchen Container,Kitchen Product,M001,E001,1241,1261,1232,29,7.18,0.27,728.99,25.25,None,101.61,2.3,Completed,High,High,96.056,2021,11,November,2021-11
P000020,2023-05-07,Morning,NP005,Plastic Dustbin,Household Utility,M006,E020,471,401,388,13,7.31,0.8,793.54,15.11,Surface Defect,85.14,3.24,Completed,Low,Low,33.044,2023,5,May,2023-05
P000021,2025-10-25,Morning,NP002,Plastic Mug,Household Utility,M004,E001,648,666,624,42,6.07,0.79,167.82,35.7,Dimensional Defect,102.78,6.31,Completed,Medium,Medium,47.322,2025,10,October,2025-10
P000022,2021-09-21,Morning,NP006,Kitchen Container,Kitchen Product,M001,E006,834,737,726,11,7.69,1.24,420.57,29.81,None,88.37,1.49,Completed,Low,High,96.056,2021,9,September,2021-09
